adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/yHqfQaGQZGyAxJJWtL6FsL5iqgl.jpg,"[28, 12, 53]",1669,en,The Hunt for Red October,"A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. A lone CIA analyst has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find him, too. The hunt is on!",25.731,/bFrMENjambHXVjiuZUis7jMCws7.jpg,1990-03-02,The Hunt for Red October,False,7.4,2728
False,/8lBcqakI3F19NWkXdqE0M8W76b9.jpg,"[28, 18, 36, 10752]",197,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",38.545,/or1gBugydmjToAEq7OZY0owwFk.jpg,1995-03-14,Braveheart,False,7.9,8692
False,/fydUcbkqLyESCFa9U5XKqi8dIVj.jpg,"[16, 10751, 12, 14]",109445,en,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",132.667,/kgwjIb2JDHRhNk13lmSxiClFjVk.jpg,2013-11-20,Frozen,False,7.3,14686
False,/imvV078HyWsa9jgDVLi4APgskrJ.jpg,"[35, 10749, 18]",634,en,Bridget Jones's Diary,"A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections.",25.222,/dkauRl9TosBFikftrC3OVcKWDoz.jpg,2001-04-13,Bridget Jones's Diary,False,6.8,4352
False,/wdwcOBMkt3zmPQuEMxB3FUtMio2.jpg,"[12, 28, 878]",271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",113.289,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,2016-04-27,Captain America: Civil War,False,7.4,20448
False,/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg,"[28, 12, 878]",99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",158.662,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,2015-04-22,Avengers: Age of Ultron,False,7.3,20581
False,/xKb6mtdfI5Qsggc44Hr9CCUDvaj.jpg,"[28, 53, 878]",280,en,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",82.766,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,1991-07-03,Terminator 2: Judgment Day,False,8.1,10817
False,/x8rsgX8MsjnMBOCpRWfWCx8mgT3.jpg,"[35, 10749]",571296,pl,Planeta Singli 3,"Tomek and Ania finally decide to get married. The wedding, according to the wishes of Ania, will take place at the family members of Tomek with whom he has had no contact for years. It turns out that his brothers and his mother are like an Italian family where every conversation threatens to lead to an explosion and where a loving relationship and a quarrel are close together. Also the mother of Ania does not make a good impression on the mother of Tomek when she appears at the wedding with a much younger partner. The unexpected arrival of Tomek's father, whom he has not seen for years, is the drop that makes the bucket overflow .",2.737,/uBfLzmbIfZ9SSe0RkUQUEeem4DE.jpg,2019-02-08,Planeta Singli 3,False,7.0,38
False,,"[35, 10749]",1019354,pl,Listy do M. 5,,4.782,/5RsDEIbg43WQ4twaXF5T7ZCaWhB.jpg,2022-11-04,Listy do M. 5,False,8.0,1
False,,"[35, 10749]",1019354,pl,Listy do M. 5,,4.782,/5RsDEIbg43WQ4twaXF5T7ZCaWhB.jpg,2022-11-04,Listy do M. 5,False,8.0,1
